pBrand,pModel,pTitle,pURL,price,rDate,rRating,rRatingLink,rText,rTitle,rTitleLink,rURL,rUser,rUserLink,siteCode
Whirlpool,"Model # WRF535SMBM
Internet #204177400
Store SO SKU #1000014125",25.2 cu. ft. French Door Refrigerator in Monochromatic Stainless Steel,http://www.homedepot.com/p/Whirlpool-25-2-cu-ft-French-Door-Refrigerator-in-Monochromatic-Stainless-Steel-WRF535SMBM/204177400,"$1,098.00","January 17, 2017"," 4.5
 out of
 5
",,"We’re pleased with this purchase. Very attractive styling. Compressor is quiet. Normal sounds of ice falling into bin. Good lighting in top and in freezer. Fit and finish is good. Interior is designed thoughtfully. Bottom casters allow easy placement. The rear threaded brass connector for the ice maker water supply is great - so much better than just loose tubing sticking out. If we had to choose over again, this would still be our choice.",We’re pleased with this purchase. Very attractive styling. Compressor is...,,,drpatroni,,HD
Whirlpool,"Model # WRF535SMBM
Internet #204177400
Store SO SKU #1000014125",25.2 cu. ft. French Door Refrigerator in Monochromatic Stainless Steel,http://www.homedepot.com/p/Whirlpool-25-2-cu-ft-French-Door-Refrigerator-in-Monochromatic-Stainless-Steel-WRF535SMBM/204177400,"$1,098.00","December 29, 2016"," 4.5
 out of
 5
",,Purchased this refrigerator during the BF sale. The unit came with a missing part inside. I cannot get anybody to provide me directions on how to obtain this part. No action from the store I bought it from. No action from Whirlpool after 3 emails. It's been weeks and I am still seeing exposed styrofoam everytime I open the fridge. How do I get this part???!,Purchased this refrigerator during the BF sale. The unit came with a missing part inside. I can...,,,tsh,,HD
Whirlpool,"Model # WRF535SMBM
Internet #204177400
Store SO SKU #1000014125",25.2 cu. ft. French Door Refrigerator in Monochromatic Stainless Steel,http://www.homedepot.com/p/Whirlpool-25-2-cu-ft-French-Door-Refrigerator-in-Monochromatic-Stainless-Steel-WRF535SMBM/204177400,"$1,098.00","December 28, 2016"," 4.5
 out of
 5
",,This refrigerator looks great and has a good amount of space inside with options to easily change the placement of the shelves.,This refrigerator looks great and has a good amount of space inside with options to easily change...,,,andreaD,,HD
Whirlpool,"Model # WRF535SMBM
Internet #204177400
Store SO SKU #1000014125",25.2 cu. ft. French Door Refrigerator in Monochromatic Stainless Steel,http://www.homedepot.com/p/Whirlpool-25-2-cu-ft-French-Door-Refrigerator-in-Monochromatic-Stainless-Steel-WRF535SMBM/204177400,"$1,098.00","February 24, 2017"," 4.5
 out of
 5
",,"The Fridge is nice overall. After three weeks of use suddenly the freezer light stopped working and the freezer is overly frozen, and the fridge not as cold as before. Basically it already malfunctioned and it hasn't been a month. I called whirlpool and I have to wait 5 days for service to come out. I'm not sure if it can or can not happen with other brands or how fast their repair service is but this bummed me out. If not for this major issues I would of gave the fridge 5 stars,",The Fridge is nice overall. After three weeks of use suddenly the freezer light stopped working a...,,,Tpremack,,HD
Whirlpool,"Model # WRF535SMBM
Internet #204177400
Store SO SKU #1000014125",25.2 cu. ft. French Door Refrigerator in Monochromatic Stainless Steel,http://www.homedepot.com/p/Whirlpool-25-2-cu-ft-French-Door-Refrigerator-in-Monochromatic-Stainless-Steel-WRF535SMBM/204177400,"$1,098.00","February 28, 2017"," 4.5
 out of
 5
",,Overall pretty good refrigerator for the price!,Overall pretty good refrigerator for the price!...,,,Pete,,HD
Whirlpool,"Model # WRF535SMBM
Internet #204177400
Store SO SKU #1000014125",25.2 cu. ft. French Door Refrigerator in Monochromatic Stainless Steel,http://www.homedepot.com/p/Whirlpool-25-2-cu-ft-French-Door-Refrigerator-in-Monochromatic-Stainless-Steel-WRF535SMBM/204177400,"$1,098.00","January 28, 2017"," 4.5
 out of
 5
",,I saved an entire year to get this refrigerator it was installed with no problem The freezer works perfectly and it looks really pretty in my kitchen BUT the refrigerator always feels warm I have had a technician come out and replace a part but still no real change Some days I thinkthink it's fixed then the next day it's warm again Oh and just in case you're wondering it is not placed next to any heat source it is winter time and the house temperature is about 60 degrees I've had the thing since October and it is almost February I am very disappointed in this product,I had to save up for this,,,AK77,,HD
Whirlpool,"Model # WRF535SMBM
Internet #204177400
Store SO SKU #1000014125",25.2 cu. ft. French Door Refrigerator in Monochromatic Stainless Steel,http://www.homedepot.com/p/Whirlpool-25-2-cu-ft-French-Door-Refrigerator-in-Monochromatic-Stainless-Steel-WRF535SMBM/204177400,"$1,098.00","February 21, 2017"," 4.5
 out of
 5
",,"I love this fridge! The appliance people at Home Depot in Hutto, Tx are great. I had some issues and they made sure I was satisfied. The delivery people were really, really nice too. About the fridge, it's roomy, looks great, and the freezer on the bottom is a good idea.",Great fridge,,,Happycamper,,HD
Whirlpool,"Model # WRF535SMBM
Internet #204177400
Store SO SKU #1000014125",25.2 cu. ft. French Door Refrigerator in Monochromatic Stainless Steel,http://www.homedepot.com/p/Whirlpool-25-2-cu-ft-French-Door-Refrigerator-in-Monochromatic-Stainless-Steel-WRF535SMBM/204177400,"$1,098.00","February 14, 2017"," 4.5
 out of
 5
",,"The doors must be closed in order: left door first, then right.., or else the doors won't shut all the way. That is a bit frustrating, but I quick note to remind my coworkers seems to be a resolution. Nice looking fridge other than that.","The doors must be closed in order: left door first, then right.., or else the doors won't shut al...",,,Woodlands,,HD
Frigidaire,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00,"January 1, 2017"," 4.1
 out of
 5
",,Bought this fridge July 2015. The door handle broke off Nov. 2016. The part is not covered after 12 months and cost $40. Sorry but I expect the handle of the door should stay on the fridge for more than a year! ( I even Gorilla Glued it twice and broke off again within a week...this thing was made to break!),Bought this fridge July 2015. The door handle broke off Nov. 2016. The part is not covered after ...,,,StephW,,HD
Frigidaire,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00,"February 28, 2017"," 4.1
 out of
 5
",,"Good as second refrigerator for our garage, but obviously not new. Styrofoam had been removed and replaced - broken and poorly taped back on. One leveling foot underneath was bent and mangled.","Good as second refrigerator for our garage, but obviously not...",,,Jack,,HD
