pBrand,pModel,pTitle,pURL,price,rDate,rRating,rText,rTitle,rUser,siteCode
 , , , , , , , , , ,HD
Honda,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00,"February 25, 2017"," 4.4
 out of
 5
"," I have never left a review before but this is simply the best mower I have ever used. I have had it for about a year and not a single problem but I would expect that for any mower. What makes this mower extraordinary is it's auto choke easy start engine, intuitive easy to use drive system and it's light weight maneuverability. But the best feature is it's twin cutting blades. They do such a good job of mulching that I have only used the bag once. The mulch never clumps, never bogs down the mower and is virtually invisible no matter the grass length or how wet. This mower is so good that I plan on buying for my son for a house warming gift. I highly recommend this model, no need to go any higher in price!",I have never left a review before but this is simply the best mower I have ever used. I have had ...,ManuelLabor,HD
Honda,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00,"February 26, 2017"," 4.4
 out of
 5
"," The mower made it's maiden voyage today, and performed flawlessly. Assembled easily in minutes, and cranked on the first pull. My bermuda lawn gets scalped once early each year, so I set the mower to its lowest setting. Adding to the challenge is the fact that my lawn is covered with last years leaves. I started in bag mode, but quickly re-evaluated after filling the bag with leaves in one pass. Switching to mulch mode, countless trips to empty the bag were avoided. My old mower is a Honda, so I expected quality performance. Still, I was pleasantly surprised at the results in mulch mode. Granted, I needed double passes on occasion to completely mulch the leaves, but double passes were much quicker than continually dumping the bag, and the motor never stalled.  I was skeptical about the variable speed control, especially after reading the 1* reviews. Once again, pleasantly surprised! It took some experimentation to get the adjustable paddles in a desirable position, which for me was rather low, so that no matter how far I depressed them, the speed never got very high. Many with poor reviews cited speed control and thumb fatigue as issues. My instinct was to lay my thumbs on the paddles too, but Honda's promo video shows that the proper grip has the pad of the thumb knuckle laying on the paddles, with thumbs either above, or wrapped under the grip. In this manner, rolling the wrist slightly toggles the mechanism, rather than using thumb leverage. (Honda's promo video: https://www.youtube.com/watch?v=A5ikBT_DOkE ). It was easy to control acceleration and no hand cramps at all. Mower started cold, started hot and the transition of the auto choke was undetectable. A flawless performance today, and I expect years of the same. Pros: easy start, flawless auto choke, no stalls, good mulch quality<br>Cons: bag is a bit smaller than the previous model. Could be problematic with very high/thick grass, but shouldn't be a problem for once-a-week mowers. I recommend mulch mode for high grass.","The mower made it's maiden voyage today, and performed flawlessly. Assembled easily in minutes, a...",davhen,HD
Honda,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00,"January 10, 2017"," 4.4
 out of
 5
","The HRR216VKA is an amazing mower. It has rear wheel drive, and a twin blade MicroCut system. I have never seen such small/fine bag clippings until I bought this lawn mower. The Honda engine is a definite plus too. I did my research of the available walk behind self propelled lawn mowers and finally decided on this one. I highly recommend this lawn mower.","The HRR216VKA is an amazing mower. It has rear wheel drive, and a twin blade MicroCut system. I...",ChrisLSU,HD
Honda,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00,"February 28, 2017"," 4.4
 out of
 5
","Took it out of the box, filled it with oil and gas and then gave it one gentle pull - vroom! What more can I say other than it can pull you along at almost a jogging pace if you want it to. It mulched my winter leaves to pulp. Great mower!!","Took it out of the box, filled it with oil and gas and then gave it one gentle pull - vroom! What...",GreenCoveGardener,HD
Honda,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00,"February 26, 2017"," 4.4
 out of
 5
",Do not purchase. After 7 months unable to start. Followed troubleshooting guidelines. Does not start. Took back to Home Depot. They would not replace because over 90 days. Spent $400 for piece of junk. Buyer beware.,Big Disappointment,Kboyer,HD
Honda,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00,"February 28, 2017"," 4.4
 out of
 5
",Works great love it,Works great love it...,Greg,HD
Honda,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00,"October 4, 2016"," 4.4
 out of
 5
","Honda mower was easy to assemble and started quickly after I had put in gas & oil (supplied). Instructions were easy to follow. The mower works great. I love the mulching feature. It mulches the grass into fine particles so there is no bunches of grass on the lawn.
I have a large lawn, about 1.5 acres, and this mower handles the operation without problems.",Best lawnmower I ever owned!,Bob,HD
Honda,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00,"February 24, 2017"," 4.4
 out of
 5
"," I am a teen who own my own lawn service, so I have had to venture out and buy various types of lawn equipment. In doing so, I have discovered many things about all the big name brands and their quality. My dad owns the 2011 model of this mower, and has had wonderful luck with it, so I decided to venture out and buy another when my Toro lawn mower seized up out of the blue. I really like this mower: fuel efficiency, features, value, etc.<br>However there are a few things worth noting about overall quality vs. my dad's 2011 model of this mower. Improvements: <br>Cutting height- My dad's mower cannot cut at very tall heights; thankfully two extra cutting heights have made this mower more practical for me.<br>Ease of transport- My dad's mower required you to unscrew two plastic pieces on both sides of the handle bars to fold them down. It is a very slow process, and can be quite a pain. This mower now has two pieces that pop out and twist to the side allowing you to fold the handle bars in one second flat.<br>Mowing options- While this mower still cannot side discharge, changing from mulching to bagging is now a breeze. A single switch on the deck allows you to change from mulching to bagging without having to remove a mulching attachment. The bad:<br>Since the price-point of this mower has changed relatively little over the past 6-7 years, Honda has had to cut quality to meet inflation. This is very apparent when you are starting the mower. The Auto Choke system has changed, and takes 2-3 pulls to start (versus one pull for the 2011 model). Honda has also made the bag thinner, which allows small pieces of grass to fly out of it, and turns it a dusty-brown when some become trapped within. The wheels have below average grip, so it will occasionally struggle going up steep hills. The plastic back flap also bends and warps over a short period of time, not visually appealing, but it does not hurt the performance of the mower. While there are some negatives to the overall performance and value of this mower, it's easy enough to overlook those, and I expect to get many years of service out of this mower.","I am a teen who own my own lawn service, so I have had to venture out and buy various types of la...",Bob,HD
Sun Joe,"Model # MJ401E
Internet #202554772",14 in. 12 Amp Electric Lawn Mower,http://www.homedepot.com/p/Sun-Joe-14-in-12-Amp-Electric-Lawn-Mower-MJ401E/202554772,$94.97,"February 28, 2017"," 4.4
 out of
 5
","The only assembly required was putting the handle on. Easy peasy. Can be set to 3 cutting levels. I have Tall Fescue grass, and it cut through that no problem. Bag is easy to empty. Easy to use and very lightweight, which was important for me, an older woman. This will pay for itself in a month of Lawn Care Fees. Buy a bright, non green cord in recommended gauge, and give the machine 2 seconds to bring the blades up to speed. Off you go. I would purchase this again.",The only assembly required was putting the handle on. Easy peasy. Can be set to 3 cutting level...,Janet,HD
Sun Joe,"Model # MJ401E
Internet #202554772",14 in. 12 Amp Electric Lawn Mower,http://www.homedepot.com/p/Sun-Joe-14-in-12-Amp-Electric-Lawn-Mower-MJ401E/202554772,$94.97,"February 16, 2017"," 4.4
 out of
 5
","Use a 14-gauge extension cord instead!
When you add this lawnmower to your shopping cart, Home Depot (even Amazon) will also suggest that you purchase a 100 feet 16-gauge extension cord in order to use this lawnmower if you do not yet have one. You should not buy the suggested 16-gauge extension cord just to use this lawnmower.
The manual, even the manufacture's website, said that you should use a 14-gauge extension cord instead. Why, using the 16-gauge extension cord may cause this lawnmower to under perform at lawn mowing and may cause the motor to overheat, which is an $100 investment you may not want to risk.","Use a 14-gauge extension cord instead! When you add this lawnmower to your shopping cart, Home De...",beev,HD
Sun Joe,"Model # MJ401E
Internet #202554772",14 in. 12 Amp Electric Lawn Mower,http://www.homedepot.com/p/Sun-Joe-14-in-12-Amp-Electric-Lawn-Mower-MJ401E/202554772,$94.97,"February 28, 2017"," 4.4
 out of
 5
","It is easy to operate and being a senior citizen it is easy to push around the yard, storage is a breeze and the grass catcher is so easy to operate. I recommend to young and older alike. Great lawnmower.","It is easy to operate and being a senior citizen it is easy to push around the yard, storage is ...",David,HD
Sun Joe,"Model # MJ401E
Internet #202554772",14 in. 12 Amp Electric Lawn Mower,http://www.homedepot.com/p/Sun-Joe-14-in-12-Amp-Electric-Lawn-Mower-MJ401E/202554772,$94.97,"February 28, 2017"," 4.4
 out of
 5
","Good size mower for my yard. Very easy to put together. Easy to adjust height. Very lightweight, almost too light. Great price.",Good size mower for my yard. Very easy to...,Fred,HD
Sun Joe,"Model # MJ401E
Internet #202554772",14 in. 12 Amp Electric Lawn Mower,http://www.homedepot.com/p/Sun-Joe-14-in-12-Amp-Electric-Lawn-Mower-MJ401E/202554772,$94.97,"February 28, 2017"," 4.4
 out of
 5
","This mower is fantastic, it is easy to assemble and easy to operate in fact it is fun","This mower is fantastic, it is easy to assemble...",TG2317,HD
Sun Joe,"Model # MJ401E
Internet #202554772",14 in. 12 Amp Electric Lawn Mower,http://www.homedepot.com/p/Sun-Joe-14-in-12-Amp-Electric-Lawn-Mower-MJ401E/202554772,$94.97,"February 28, 2017"," 4.4
 out of
 5
",I like this mowerits perfect for a little yard like mine,Electric lawn mower,Gary821,HD
Sun Joe,"Model # MJ401E
Internet #202554772",14 in. 12 Amp Electric Lawn Mower,http://www.homedepot.com/p/Sun-Joe-14-in-12-Amp-Electric-Lawn-Mower-MJ401E/202554772,$94.97,"February 21, 2017"," 4.4
 out of
 5
","we have always used the gas powered lawnmowers, and they keep breaking down after a year or so, I needed something simple and small that I could keep in garage, it is so easy to use and worked great for me as I am taking over this chore now that my son is working full time.","we have always used the gas powered lawnmowers, and they keep breaking down after a year or so, ...",zenaprincess,HD
Sun Joe,"Model # MJ401E
Internet #202554772",14 in. 12 Amp Electric Lawn Mower,http://www.homedepot.com/p/Sun-Joe-14-in-12-Amp-Electric-Lawn-Mower-MJ401E/202554772,$94.97,"February 23, 2017"," 4.4
 out of
 5
",Good machine for the price. The machine really do the job.,My Elect Lawn Mower,Walterjose,HD
Yard Machines,"Model # 12A-A1BA729
Internet #204686154
Store SKU #339796
Store SO SKU #639830",21 in. 140cc OHV Briggs & Stratton Walk Behind Gas Self Propelled Mower,http://www.homedepot.com/p/Yard-Machines-21-in-140cc-OHV-Briggs-Stratton-Walk-Behind-Gas-Self-Propelled-Mower-12A-A1BA729/204686154,$279.00,"February 28, 2017"," 3.9
 out of
 5
",works great cuts grass,works great cuts grass,sundeviljack,HD
Yard Machines,"Model # 12A-A1BA729
Internet #204686154
Store SKU #339796
Store SO SKU #639830",21 in. 140cc OHV Briggs & Stratton Walk Behind Gas Self Propelled Mower,http://www.homedepot.com/p/Yard-Machines-21-in-140cc-OHV-Briggs-Stratton-Walk-Behind-Gas-Self-Propelled-Mower-12A-A1BA729/204686154,$279.00,"February 25, 2017"," 3.9
 out of
 5
",I was pleasantly surprised it was almost completely assembled. Light weight and easy to start and handle. I would recommend this lawnmower. LB,I was pleasantly surprised it was almost completely assembled. Light...,LB,HD
